,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
0,1, Arsenal,9,8,0,1,23,10,+13,24,2.67,17.9,7.7,+10.2,+1.13,W L W W W,"60,109",Gabriel Jesus - 5,Aaron Ramsdale,
1,2, Manchester City,9,7,2,0,33,9,+24,23,2.56,20.9,5.1,+15.9,+1.77,W D W W W,"53,363",Erling Haaland - 15,Ederson,
2,3, Tottenham,9,6,2,1,20,10,+10,20,2.22,13.9,10.3,+3.6,+0.40,D W W L W,"61,530",Harry Kane - 8,Hugo Lloris,
3,4, Chelsea,8,5,1,2,13,10,+3,16,2.00,11.1,8.6,+2.5,+0.31,W L W W W,"39,941",Raheem Sterling - 3,Edouard Mendy,
4,5, Manchester Utd,8,5,0,3,13,15,-2,15,1.88,10.7,11.9,-1.2,-0.15,W W W L W,"73,763","Marcus Rashford, Antony - 3",David de Gea,
5,6, Newcastle Utd,9,3,5,1,17,9,+8,14,1.56,17.4,9.7,+7.7,+0.86,L D D W W,"52,134",Miguel Almirón - 4,Nick Pope,
6,7, Brighton,8,4,2,2,14,9,+5,14,1.75,12.5,9.4,+3.0,+0.38,W L W D L,"31,297",Leandro Trossard - 5,Robert Sánchez,
7,8, Bournemouth,9,3,3,3,8,20,-12,12,1.33,4.9,14.6,-9.7,-1.08,D W D D W,"10,389",Philip Billing - 3,Neto,
8,9, Fulham,9,3,2,4,14,18,-4,11,1.22,9.6,18.9,-9.3,-1.03,W L W L L,"22,286",Aleksandar Mitrović - 6,Bernd Leno,
9,10, Liverpool,8,2,4,2,20,12,+8,10,1.25,14.7,10.9,+3.7,+0.47,W W D D L,"53,234",Roberto Firmino - 6,Alisson,
10,11, Brentford,9,2,4,3,16,17,-1,10,1.11,13.0,11.7,+1.3,+0.15,D W L D L,"17,069",Ivan Toney - 6,David Raya,
11,12, Everton,9,2,4,3,8,9,-1,10,1.11,9.9,14.9,-4.9,-0.55,D D W W L,"39,264",Anthony Gordon - 2,Jordan Pickford,
12,13, West Ham,9,3,1,5,8,10,-2,10,1.11,10.5,8.9,+1.6,+0.18,D L L W W,"62,439","Gianluca Scamacca, Jarrod Bowen... - 2",Łukasz Fabiański,
13,14, Leeds United,8,2,3,3,11,12,-1,9,1.13,10.6,10.7,0.0,0.00,L D L D L,"36,410",Rodrigo - 4,Illan Meslier,
14,15, Crystal Palace,8,2,3,3,10,12,-2,9,1.13,9.4,12.7,-3.3,-0.42,L D D L W,"24,516",Wilfried Zaha - 4,Vicente Guaita,
15,16, Aston Villa,9,2,3,4,7,11,-4,9,1.00,7.3,10.6,-3.3,-0.36,L D W D D,"41,567","Ollie Watkins, Ashley Young... - 1",Emiliano Martínez,
16,17, Southampton,9,2,1,6,8,17,-9,7,0.78,8.5,11.6,-3.1,-0.34,W L L L L,"31,016","Joe Aribo, Che Adams - 2",Gavin Bazunu,
17,18, Wolves,9,1,3,5,3,12,-9,6,0.67,8.0,11.3,-3.4,-0.37,D W L L L,"31,153",Daniel Podence - 2,José Sá,
18,19, Nott'ham Forest,9,1,2,6,7,22,-15,5,0.56,8.4,16.2,-7.8,-0.87,L L L L D,"29,032","Brennan Johnson, Taiwo Awoniyi - 2",Dean Henderson,
19,20, Leicester City,9,1,1,7,15,24,-9,4,0.44,9.5,13.1,-3.6,-0.40,L L L W L,"31,768",James Maddison - 5,Danny Ward,
